0,字,한글,隋語拼音,聲母,開合,等呼,韻母,聲調
309,恫,통,thuŋ,透,開,一,東,平
310,痌,,thuŋ,透,開,一,東,平
311,曈,,thuŋ,透,開,一,東,平
312,俑,용,thuŋ,透,開,一,東,平
313,𧳆,,thuŋ,透,開,一,東,平
314,𨀜,,thuŋ,透,開,一,東,平
315,葼,,cuŋ,精,開,一,東,平
316,鬷,,cuŋ,精,開,一,東,平
317,嵕,,cuŋ,精,開,一,東,平
318,猣,,cuŋ,精,開,一,東,平
319,豵,,cuŋ,精,開,一,東,平
320,鯼,,cuŋ,精,開,一,東,平
321,椶,종,cuŋ,精,開,一,東,平
322,騣,,cuŋ,精,開,一,東,平
323,𩮀,,cuŋ,精,開,一,東,平
324,䗥,,cuŋ,精,開,一,東,平
325,嵸,,cuŋ,精,開,一,東,平
326,艐,,cuŋ,精,開,一,東,平
327,蝬,,cuŋ,精,開,一,東,平
328,堫,,cuŋ,精,開,一,東,平
329,𥓻,,cuŋ,精,開,一,東,平
330,翪,,cuŋ,精,開,一,東,平
331,緵,,cuŋ,精,開,一,東,平
332,㚇,,cuŋ,精,開,一,東,平
333,㣭,,cuŋ,精,開,一,東,平
334,稯,,cuŋ,精,開,一,東,平
335,鬉,,cuŋ,精,開,一,東,平
336,蓬,봉,buŋ,並,開,一,東,平
337,𥭗,,buŋ,並,開,一,東,平
338,篷,봉,buŋ,並,開,一,東,平
339,髼,,buŋ,並,開,一,東,平
340,蜂,봉,buŋ,並,開,一,東,平
341,芃,,buŋ,並,開,一,東,平
342,𧚋,,buŋ,並,開,一,東,平
343,韸,,buŋ,並,開,一,東,平
344,䮾,,buŋ,並,開,一,東,平
345,𩖛,,buŋ,並,開,一,東,平
346,烘,홍,qhuŋ,曉,開,一,東,平
347,叿,,qhuŋ,曉,開,一,東,平
348,魟,,qhuŋ,曉,開,一,東,平
349,谾,,qhuŋ,曉,開,一,東,平
350,𩐠,,qhuŋ,曉,開,一,東,平
351,𩗄,,qhuŋ,曉,開,一,東,平
352,㟅,,ŋuŋ,疑,開,一,東,平
353,檧,,suŋ,心,開,一,東,平
354,憽,,suŋ,心,開,一,東,平
355,㬝,,suŋ,心,開,一,東,平
356,冬,동,toŋ,端,開,一,冬,平
357,𠔙,,toŋ,端,開,一,冬,平
358,苳,동,toŋ,端,開,一,冬,平
359,䳉,,toŋ,端,開,一,冬,平
360,笗,,toŋ,端,開,一,冬,平
361,𩂓,,toŋ,端,開,一,冬,平
362,𧲴,,toŋ,端,開,一,冬,平
363,彤,동,doŋ,定,開,一,冬,平
364,疼,동,doŋ,定,開,一,冬,平
365,佟,동,doŋ,定,開,一,冬,平
366,炵,동,doŋ,定,開,一,冬,平
367,䳋,,doŋ,定,開,一,冬,平
368,鼕,동,doŋ,定,開,一,冬,平
369,𢥞,,doŋ,定,開,一,冬,平
370,𢾮,,doŋ,定,開,一,冬,平
371,爞,,doŋ,定,開,一,冬,平
372,㤏,,doŋ,定,開,一,冬,平
373,痋,,doŋ,定,開,一,冬,平
374,䂈,,doŋ,定,開,一,冬,平
375,鉵,,doŋ,定,開,一,冬,平
376,𧹝,,doŋ,定,開,一,冬,平
377,𩦶,,doŋ,定,開,一,冬,平
378,浵,,doŋ,定,開,一,冬,平
379,䶱,,doŋ,定,開,一,冬,平
380,𠩁,,doŋ,定,開,一,冬,平
381,鉖,,doŋ,定,開,一,冬,平
382,𨜳,,doŋ,定,開,一,冬,平
383,㠽,,doŋ,定,開,一,冬,平
384,赨,,doŋ,定,開,一,冬,平
385,賨,,dzoŋ,從,開,一,冬,平
386,琮,종,dzoŋ,從,開,一,冬,平
387,悰,종,dzoŋ,從,開,一,冬,平
388,潨,,dzoŋ,從,開,一,冬,平
389,淙,종,dzoŋ,從,開,一,冬,平
390,慒,종,dzoŋ,從,開,一,冬,平
391,鬃,,dzoŋ,從,開,一,冬,平
392,㼻,,dzoŋ,從,開,一,冬,平
393,孮,,dzoŋ,從,開,一,冬,平
394,誴,,dzoŋ,從,開,一,冬,平
395,𢃏,,dzoŋ,從,開,一,冬,平
396,農,농,noŋ,泥,開,一,冬,平
397,䢉,,noŋ,泥,開,一,冬,平
398,辳,,noŋ,泥,開,一,冬,平
399,𨑋,,noŋ,泥,開,一,冬,平
400,𩟊,,noŋ,泥,開,一,冬,平
401,噥,농,noŋ,泥,開,一,冬,平
402,𩅽,,noŋ,泥,開,一,冬,平
403,憹,,noŋ,泥,開,一,冬,平
404,㺜,,noŋ,泥,開,一,冬,平
405,儂,농,noŋ,泥,開,一,冬,平
406,𧗕,,noŋ,泥,開,一,冬,平
407,膿,농,noŋ,泥,開,一,冬,平
408,攻,공,koŋ,見,開,一,冬,平
409,釭,공,koŋ,見,開,一,冬,平
410,䃔,,xoŋ,匣,開,一,冬,平
411,洚,,xoŋ,匣,開,一,冬,平
412,㗢,,xoŋ,匣,開,一,冬,平
413,𩘎,,xoŋ,匣,開,一,冬,平
414,䃧,,loŋ,來,開,一,冬,平
415,䥢,,loŋ,來,開,一,冬,平
416,𣫣,,loŋ,來,開,一,冬,平
417,宗,종,coŋ,精,開,一,冬,平
418,倧,종,coŋ,精,開,一,冬,平
419,鬆,송,soŋ,心,開,一,冬,平
420,䯳,,soŋ,心,開,一,冬,平
421,炵,동,thoŋ,透,開,一,冬,平
422,鍾,종,tyoŋ,章,開,三,鍾,平
423,鐘,종,tyoŋ,章,開,三,鍾,平
424,蚣,공,tyoŋ,章,開,三,鍾,平
425,忪,,tyoŋ,章,開,三,鍾,平
426,䇗,,tyoŋ,章,開,三,鍾,平
427,蹱,,tyoŋ,章,開,三,鍾,平
428,彸,,tyoŋ,章,開,三,鍾,平
429,衳,,tyoŋ,章,開,三,鍾,平
430,伀,종,tyoŋ,章,開,三,鍾,平
431,橦,동,tyoŋ,章,開,三,鍾,平
432,籦,,tyoŋ,章,開,三,鍾,平
433,妐,,tyoŋ,章,開,三,鍾,平
434,㕬,,tyoŋ,章,開,三,鍾,平
435,𧢸,,tyoŋ,章,開,三,鍾,平
436,炂,,tyoŋ,章,開,三,鍾,平
437,𦬘,,tyoŋ,章,開,三,鍾,平
438,𨳗,,tyoŋ,章,開,三,鍾,平
439,鈆,,tyoŋ,章,開,三,鍾,平
440,龍,롱,lyoŋ,來,開,三,鍾,平
441,𪚝,,lyoŋ,來,開,三,鍾,平
442,躘,,lyoŋ,來,開,三,鍾,平
443,鸗,,lyoŋ,來,開,三,鍾,平
444,驡,,lyoŋ,來,開,三,鍾,平
445,𪚠,,lyoŋ,來,開,三,鍾,平
446,籠,롱,lyoŋ,來,開,三,鍾,平
447,𦪽,,lyoŋ,來,開,三,鍾,平
448,蘢,롱,lyoŋ,來,開,三,鍾,平
449,舂,용,shyoŋ,書,開,三,鍾,平
450,𧐍,,shyoŋ,書,開,三,鍾,平
451,摏,,shyoŋ,書,開,三,鍾,平
452,蹖,,shyoŋ,書,開,三,鍾,平
453,𪄻,,shyoŋ,書,開,三,鍾,平
454,憃,용,shyoŋ,書,開,三,鍾,平
455,松,송,zyoŋ,邪,開,三,鍾,平
456,㮤,,zyoŋ,邪,開,三,鍾,平
457,淞,송,zyoŋ,邪,開,三,鍾,平
458,訟,송,zyoŋ,邪,開,三,鍾,平
459,𧘂,,thyoŋ,昌,開,三,鍾,平
460,衝,충,thyoŋ,昌,開,三,鍾,平
461,罿,,thyoŋ,昌,開,三,鍾,平
462,憧,동,thyoŋ,昌,開,三,鍾,平
463,䡴,,thyoŋ,昌,開,三,鍾,平
464,艟,동,thyoŋ,昌,開,三,鍾,平
465,潼,동,thyoŋ,昌,開,三,鍾,平
466,褈,,thyoŋ,昌,開,三,鍾,平
467,𠟍,,thyoŋ,昌,開,三,鍾,平
468,𠝤,,thyoŋ,昌,開,三,鍾,平
469,䂌,,thyoŋ,昌,開,三,鍾,平
470,容,용,jyoŋ,以,開,三,鍾,平
471,溶,용,jyoŋ,以,開,三,鍾,平
472,滽,,jyoŋ,以,開,三,鍾,平
473,庸,용,jyoŋ,以,開,三,鍾,平
474,𦤘,,jyoŋ,以,開,三,鍾,平
475,𧴄,,jyoŋ,以,開,三,鍾,平
476,㺎,,jyoŋ,以,開,三,鍾,平
477,𤛑,,jyoŋ,以,開,三,鍾,平
478,墉,용,jyoŋ,以,開,三,鍾,平
479,鎔,용,jyoŋ,以,開,三,鍾,平
480,鏞,용,jyoŋ,以,開,三,鍾,平
481,銿,,jyoŋ,以,開,三,鍾,平
482,鄘,,jyoŋ,以,開,三,鍾,平
483,傭,용,jyoŋ,以,開,三,鍾,平
484,𪅟,,jyoŋ,以,開,三,鍾,平
485,㼸,,jyoŋ,以,開,三,鍾,平
486,𤮇,,jyoŋ,以,開,三,鍾,平
487,鱅,용,jyoŋ,以,開,三,鍾,平
488,蓉,용,jyoŋ,以,開,三,鍾,平
489,䗤,,jyoŋ,以,開,三,鍾,平
490,傛,용,jyoŋ,以,開,三,鍾,平
491,褣,,jyoŋ,以,開,三,鍾,平
492,搈,,jyoŋ,以,開,三,鍾,平
493,瑢,용,jyoŋ,以,開,三,鍾,平
494,䈶,,jyoŋ,以,開,三,鍾,平
495,嵱,용,jyoŋ,以,開,三,鍾,平
496,頌,송,jyoŋ,以,開,三,鍾,平
497,㝐,,jyoŋ,以,開,三,鍾,平
