忠,,tryuŋ,,,1
昼,（晝）,tryû,,,1
柱,,dryó,,,1
注,,tyô,,,1
虫,（蟲）,dryuŋ,,,1
著,,triô,,,1
貯,,trió,,,1
丁,,teŋ,,,1
兆,,driéu,,,1
帳,,triâŋ,,,1
庁,（廳）,theŋ,,,1
張,,triaŋ,,,1
朝,,trieu,,,1
潮,,drieu,,,1
町,,théŋ,,,1
腸,,driaŋ,,,1
調,,dêu,動詞【調査する】、【異動する】，【徴用する】、名詞【税】、【韻律】、【おもむき】。,,1
長,,driaŋ,,,1
頂,,téŋ,,,1
鳥,,téu,,,1
直,,driək,,,1
賃,,nrîm,,,1
追,,tryi,,,1
痛,,thûŋ,,,1
通,,thuŋ,,,1
低,,tei,,,1
停,,deŋ,,,1
定,,dêŋ,,,1
底,,téi,,,1
庭,,deŋ,,,1
弟,,déi,,,1
提,,dei,,,1
程,,drieŋ,,,1
敵,,dek,,,1
的,,tek,,,1
笛,,dek,,,1
適,,shiek,,,1
鉄,（鐵）,thet,,,1
典,,tén,,,1
天,,then,,,1
展,,trién,,,1
店,,têm,,,1
転,（轉）,tryén,,,1
点,（點）,tém,,,1
伝,（傳）,dryen,動詞【つたえる】。,,1
伝,（傳）,dryên,名詞【つたえ】。,,1
田,,den,,,1
電,,dên,,,1
徒,,do,,,1
登,,təŋ,,,1
努,,nó,,,1
度,,dô,,,1
土,,thó,,,1
党,（黨）,táŋ,,,1
冬,,toŋ,,,1
刀,,tau,,,1
島,,táu,,,1
投,,du,,,1
東,,tuŋ,,,1
湯,,thaŋ,,,1
灯,（燈）,təŋ,,,1
当,（當）,tâŋ,動詞【みなす】、【質にいれる】、形容詞【ふさわしい】、【この，いまの】。,例詞：｛適當｝、｛抵當｝,1
当,（當）,taŋ,動詞【匹敵する】、【つかさどる】、【はずである】、副詞【いまにも】、【まだ】、【つまり】、介詞【対して】、形容詞【むかしの】。,例詞：｛當然｝,1
等,,tə́ŋ,,,1
答,,təp,,,1
糖,,daŋ,,,1
統,,thôŋ,,,1
討,,tháu,,,1
豆,,dû,,,1
頭,,du,,,1
働,,dúŋ,,,1
動,,dúŋ,,,1
同,,duŋ,,,1
堂,,daŋ,,,1
導,,dâu,,,1
童,,duŋ,,,1
道,,dâu,動詞【おさめる，みちびく】。,,1
道,,dáu,,,1
銅,,duŋ,,,1
得,,tək,,,1
徳,（德）,tək,,,1
特,,dək,,,1
毒,,dok,,,1
独,（獨）,duk,,,1
読,,duk,,,1
届,,krêi,,,1
内,,nûi,,,1
南,,nəm,,,1
難,,nan,,,1
二,,nî,,,1
肉,,nyuk,,,1
日,,nit,,,1
乳,,nyó,,,1
入,,nip,,,1
任,,nîm,,,1
認,,nîn,,,1
熱,,niet,,,1
年,,nen,,,1
念,,nêm,,,1
燃,,nien,,,1
納,,nəp,,,1
能,,nəŋ,,,1
脳,（腦）,náu,,,1
農,,noŋ,,,1
波,,pa,,,1
派,,phrê,,,1
破,,phâ,,,1
馬,,mrá,,,1
俳,,brei,,,1
拝,（拜）,prêi,,,1
敗,,brâi,,,1
背,,pûi,,,1
肺,,phyôi,,,1
配,,phûi,,,1
倍,,búi,,,1
梅,,mui,,,1
買,,mré,,,1
売,（賣）,mrê,,,1
博,,pak,,,1
白,,brak,,,1
箱,,siaŋ,,,1
八,,pret,,,1
発,（發）,pyot,,,1
判,,phân,,,1
半,,pân,,,1
反,,pyón,,,1
板,,prán,,,1
版,,prán,,,1
犯,,byóm,,,1
班,,pran,,,1
晩,（晚）,myón,,,1
番,,phyon,,,1
否,,pyú,,,1
悲,,pryi,,,1
批,,phei,,,1
比,,pí,動詞【くらべる】、【準用する】、【類似する】、名詞【先例】、【同類】、介詞【よりも】。,,1
皮,,brie,,,1
秘,,prŷi,,,1
肥,,byui,,,1
費,,phyûi,,,1
非,,pyui,,,1
飛,,pyui,,,1
備,,brŷi,,,1
美,,mrýi,,,1
鼻,,bî,,,1
必,,pit,,,1
筆,,pryt,,,1
百,,prak,,,1
俵,,priêu,,,1
標,,pieu,,,1
氷,（冰）,pryəŋ,,,1
票,,phiêu,,,1
表,,priéu,,,1
評,,brieŋ,,,1
病,,briêŋ,,,1
秒,,miéu,,,1
品,,phrím,,,1
貧,,bryn,,,1
不,,pyú,,,1
付,,byô,動詞【つく，つけたす】、【ちかずく，たよる，たのむ】。,,1
夫,,pyo,,,1
婦,,byú,,,1
富,,pyû,,,1
布,,pô,,,1
府,,pyó,,,1
父,,byó,,,1
負,,byú,,,1
武,,myó,,,1
部,,bú,,,1
風,,pyuŋ,,,1
副,,phyû,,,1
復,,byuk,動詞【ひきかえす，しかえしする，くりかえす】、【こたえる】。,,1
腹,,pyuk,,,1
複,,pyuk,,,1
仏,（佛）,byut,,,1
物,,myut,,,1
分,,pyun,,,1
奮,,pyûn,,,1
粉,,pyún,,,1
文,,myun,,,1
聞,,myun,,,1
兵,,prieŋ,,,1
平,,brieŋ,,,1
並,（并）,béŋ,,,1
閉,,pêi,,,1
陛,,béi,,,1
米,,méi,,,1
別,（别）,bryet,,,1
変,（變）,pryên,,,1
片,,phên,,,1
編,,pen,,,1
辺,（邊）,pen,,,1
返,,pyón,,,1
便,,biên,,,1
勉,,mryén,,,1
弁,（辨）,bryén,,,1
弁,（辯）,bryén,,,1
弁,（瓣）,brên,,,1
保,,páu,,,1
歩,（步）,bô,,,1
補,,pó,,,1
墓,,mô,,,1
暮,,mô,,,1
母,,mú,,,1
包,,prau,,,1
報,,pâu,,,1
宝,（寶）,páu,,,1
放,,pyâŋ,,,1
方,,pyaŋ,,,1
法,,pyop,,,1
訪,,phyâŋ,,,1
豊,（豐）,phyuŋ,,,1
