0,正,簡,隋文,華文,粤文,韓文,日文,華注音,韓諺文,日仮名
174,解,解,Xré,Xiè,Haai6,Hae,Kai,ㄒㄧㄝˋ,해,カイ
175,應,应,Qiəŋ,Yīng,Jing1,Eung,Ô,ㄧㄥ,응,オウ
176,宗,宗,Coŋ,Zōng,Zung1,Jong,Sô,ㄗㄨㄥ,종,ソウ
177,丁,丁,Teŋ,Dīng,Ding1,Jeong,Tei,ㄉㄧㄥ,정,テイ
178,宣,宣,Syen,Xuān,Syun1,Seon,Sen,ㄒㄩㄢ,선,セン
179,賁,贲,Byui,Bēn,Ban1,Bi,Hi,ㄅㄣ,비,ヒ
180,鄧,邓,Də̂ŋ,Dèng,Dang6,Deung,Tô,ㄉㄥˋ,등,トウ
181,郁,郁,Qyuk,Yù,Juk6,Uk,Iku,ㄩˋ,욱,イク
182,單,单,Dién,Shàn,Sin6,Seon,Sen,ㄕㄢˋ,선,セン
183,杭,杭,Xaŋ,Háng,Hong4,Hang,Kô,ㄏㄤˊ,항,コウ
184,洪,洪,Xuŋ,Hóng,Hung4,Hong,Kô,ㄏㄨㄥˊ,홍,コウ
185,包,包,Prau,Bāo,Baau1,Po,Hô,ㄅㄠ,포,ホウ
186,諸,诸,Tio,Zhū,Zyu1,Je,Syo,ㄓㄨ,제,ショ
187,左,左,Cá,Zuǒ,Zo2,Jwa,Sa,ㄗㄨㄛˇ,좌,サ
188,石,石,Diek,Shí,Sek6,Seok,Seki,ㄕˊ,석,セキ
189,崔,崔,Chui,Cuī,Ceoi1,Choe,Sai,ㄘㄨㄟ,최,サイ
190,吉,吉,Kit,Jí,Gat1,Gil,Kitu,ㄐㄧˊ,길,キツ
191,鈕,钮,Nryú,Niǔ,Nau2,Nyu,Zyû,ㄋㄧㄡˇ,뉴,ジュウ
192,龔,龚,Kyoŋ,Gōng,Gung1,Gong,Kyô,ㄍㄨㄥ,공,キョウ
193,程,程,Drieŋ,Chéng,Cing4,Jeong,Tei,ㄔㄥˊ,정,テイ
194,嵇,嵇,Xei,Jī,Kai1,Hye,Kei,ㄐㄧ,혜,ケイ
195,邢,邢,Xeŋ,Xíng,Jing4,Hyeong,Kei,ㄒㄧㄥˊ,형,ケイ
196,滑,滑,Xruet,Huá,Waat1,Hwal,Katu,ㄏㄨㄚˊ,활,カツ
197,裴,裴,Bui,Péi,Pui4,Bae,Hai,ㄆㄟˊ,배,ハイ
198,陸,陆,Lyuk,Lù,Luk6,Ryuk,Riku,ㄌㄨˋ,륙,リク
199,榮,荣,Xryeŋ,Róng,Wing4,Yeong,Ei,ㄖㄨㄥˊ,영,エイ
200,翁,翁,Quŋ,Wēng,Jung1,Ong,Ô,ㄨㄥ,옹,オウ
201,荀,荀,Syn,Xún,Seon1,Sun,Syun,ㄒㄩㄣˊ,순,シュン
202,羊,羊,Jiaŋ,Yáng,Joeng4,Yang,Yô,ㄧㄤˊ,양,ヨウ
203,於,於,Qio,Yū,Jyu1,Eo,Yo,ㄩ,어,ヨ
204,惠,惠,Xuêi,Huì,Wai6,Hye,Kei,ㄏㄨㄟˋ,혜,ケイ
205,甄,甄,Tin,Zhēn,Jan1,Jin,Sin,ㄓㄣ,진,シン
206,麴,麴,Khyuk,Qū,Kuk1,Guk,Kiku,ㄑㄩ,국,キク
207,家,家,Kra,Jiā,Gaa1,Ga,Ka,ㄐㄧㄚ,가,カ
208,封,封,Pyoŋ,Fēng,Fung,Bong,Hô,ㄈㄥ,봉,ホウ
209,芮,芮,Nyêi,Ruì,Jeoi6,Ye,Zei,ㄖㄨㄟˋ,예,ゼイ
210,羿,羿,Ŋêi,Yì,Ngai6,Ye,Gei,ㄧˋ,예,ゲイ
211,儲,储,Drio,Chǔ,Cyu5,Jeo,Tyo,ㄔㄨˇ,저,チョ
212,靳,靳,Kiə̂n,Jìn,Gan5,Geun,Kin,ㄐㄧㄣˋ,근,キン
213,汲,汲,Krip,Jí,Kap1,Geup,Kyû,ㄐㄧˊ,급,キュウ
214,邴,邴,Priéŋ,Bǐng,Bing2,Byeong,Hei,ㄅㄧㄥˇ,병,ヘイ
215,糜,糜,Mrie,Mí,Mei4,Mi,Bi,ㄇㄧˊ,미,ビ
216,松,松,Zyoŋ,Sōng,Sung1,Song,Syô,ㄙㄨㄥ,송,ショウ
217,井,井,Ciéŋ,Jǐng,Zing2,Jeong,Sei,ㄐㄧㄥˇ,정,セイ
