0,字,隋語拼音,聲符,小韻,反切,聲母,開合,等呼,韻母,聲調,《廣韻》韻目,平水韻,中古拼音,白氏拼音,他數據
179,椌,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
180,硿,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
181,䅝,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
182,悾,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
183,埪,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
184,倥,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
185,涳,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
186,鵼,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
187,𦱇,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
188,𢃐,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
189,𧌆,khuŋ,工,21,苦紅,溪,開,一,東,平,上平一東,上平一東,khung,khuwng,
190,公,kuŋ,公,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
191,功,kuŋ,工,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
192,工,kuŋ,工,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
193,疘,kuŋ,工,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
194,蚣,kuŋ,公,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
195,玒,kuŋ,工,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
196,釭,kuŋ,工,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
197,魟,kuŋ,工,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
198,攻,kuŋ,工,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
199,㓚,kuŋ,工,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
200,愩,kuŋ,工,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
201,碽,kuŋ,工,22,古紅,見,開,一,東,平,上平一東,上平一東,kung,kuwng,
